epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1030.46,0.43518,0.41565,0.33473,0.00192,0.1818,0.958,0.95015,0.97097,0.92951,0.958,0.95015,0.96755,0.85886,0.32864,0.37468,0.25138,0.00233,0,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,1076.56,0.43981,0.42353,0.33487,0.00196,0.18162,0.94978,0.9471,0.96887,0.93597,0.95033,0.94748,0.96594,0.84608,0.30536,0.3635,0.25555,0.00216,0,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,1122.39,0.43069,0.41657,0.3333,0.00191,0.18871,0.95225,0.95152,0.97188,0.93551,0.95225,0.95152,0.96761,0.8405,0.30565,0.37647,0.24983,0.00212,0,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,1168.35,0.42989,0.4216,0.33912,0.00191,0.19213,0.94261,0.94802,0.96798,0.92895,0.94209,0.94824,0.96485,0.8327,0.31487,0.35642,0.25605,0.00224,0,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,1214.24,0.42547,0.41025,0.32521,0.00186,0.18156,0.94997,0.95063,0.97091,0.93198,0.94997,0.95063,0.96857,0.84417,0.31432,0.34905,0.25706,0.00222,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,1260.14,0.41949,0.41832,0.31729,0.00185,0.17517,0.9557,0.94624,0.97023,0.93572,0.9557,0.94624,0.96646,0.83494,0.29594,0.35761,0.25162,0.00206,0,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,1306.09,0.41874,0.41791,0.31576,0.00185,0.17811,0.95483,0.95484,0.96924,0.93366,0.95483,0.95484,0.96743,0.84988,0.31204,0.3686,0.25523,0.00223,0,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,1351.98,0.42425,0.41626,0.31788,0.00183,0.17921,0.95709,0.95771,0.97128,0.93608,0.95709,0.95771,0.96708,0.84869,0.31074,0.36238,0.24322,0.00218,0,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,1397.85,0.41986,0.40481,0.3178,0.00185,0.17467,0.95336,0.9562,0.97031,0.93759,0.95336,0.9562,0.96722,0.85738,0.30003,0.35006,0.24513,0.00213,0,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,1443.83,0.41857,0.4062,0.31777,0.00187,0.17914,0.96211,0.95157,0.97263,0.94179,0.96211,0.95157,0.96783,0.84408,0.29063,0.35646,0.23849,0.002,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1489.62,0.41124,0.39251,0.31247,0.00182,0.17164,0.95676,0.95292,0.97086,0.9396,0.95676,0.95292,0.96726,0.84116,0.29221,0.35314,0.24072,0.00204,0,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1535.52,0.41496,0.40603,0.30581,0.00181,0.16972,0.9607,0.95752,0.97506,0.94158,0.9607,0.95752,0.96929,0.8576,0.29984,0.34102,0.22828,0.00209,0,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1581.71,0.40577,0.38904,0.30161,0.0018,0.17107,0.95055,0.9555,0.97251,0.93309,0.95055,0.9555,0.96867,0.85086,0.31814,0.3406,0.24135,0.00231,0,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1627.57,0.40307,0.38708,0.31064,0.00179,0.1687,0.95598,0.95625,0.97054,0.93775,0.95598,0.95625,0.96623,0.83705,0.29819,0.34694,0.23705,0.00216,0,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1673.56,0.40546,0.40009,0.3075,0.00179,0.17327,0.95513,0.95858,0.97382,0.94105,0.95513,0.95858,0.96893,0.85246,0.30168,0.34795,0.2377,0.00221,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,1719.58,0.40496,0.3997,0.30776,0.00179,0.16875,0.94929,0.9568,0.97187,0.93932,0.94929,0.9568,0.96873,0.84321,0.29987,0.34751,0.24518,0.00216,0,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,1765.51,0.40862,0.39811,0.30426,0.00181,0.16842,0.95489,0.95868,0.97391,0.94431,0.95507,0.95767,0.96873,0.8472,0.28824,0.36311,0.22956,0.00202,0,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,1812.18,0.40497,0.40321,0.31168,0.00178,0.17653,0.95348,0.96153,0.97325,0.93788,0.95348,0.96153,0.96751,0.85176,0.29764,0.33692,0.22577,0.00206,0,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,1858.18,0.40321,0.39627,0.31214,0.00179,0.17758,0.96137,0.95701,0.97332,0.94096,0.96137,0.95701,0.96895,0.85877,0.29395,0.3433,0.23465,0.00207,0,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,1904.13,0.4019,0.39349,0.29821,0.00176,0.17448,0.9627,0.95623,0.97596,0.94634,0.96222,0.95526,0.96956,0.85179,0.28711,0.35389,0.22768,0.00205,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,1950.04,0.40668,0.4174,0.30481,0.0018,0.17489,0.96047,0.95496,0.97566,0.94735,0.96047,0.95496,0.97107,0.8502,0.28001,0.35122,0.22722,0.00195,0,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,1996.01,0.39302,0.39605,0.2993,0.00171,0.17569,0.95548,0.95997,0.9744,0.94617,0.95548,0.95997,0.96921,0.84206,0.28169,0.35272,0.23086,0.00198,0,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,2041.85,0.40027,0.40434,0.30344,0.00176,0.1745,0.95935,0.95634,0.97569,0.95125,0.95935,0.95634,0.97077,0.85036,0.27802,0.33536,0.2281,0.00196,0,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,2087.88,0.39151,0.37689,0.28427,0.00171,0.16094,0.95856,0.96074,0.97657,0.95055,0.95856,0.96074,0.97177,0.84694,0.27305,0.34363,0.21956,0.00184,0,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,2133.66,0.39439,0.38165,0.28747,0.00173,0.16205,0.96038,0.95101,0.97448,0.94992,0.96038,0.95101,0.96911,0.84991,0.2706,0.33851,0.22392,0.00186,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,2179.61,0.39587,0.38518,0.29025,0.00173,0.16397,0.95992,0.95507,0.97483,0.94604,0.95992,0.95507,0.97019,0.85621,0.28552,0.3475,0.23382,0.00199,0,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,2225.72,0.39582,0.39202,0.28678,0.00174,0.1587,0.95535,0.96226,0.97676,0.94899,0.95535,0.96226,0.97127,0.84569,0.2786,0.34449,0.2217,0.002,0,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,2271.54,0.39518,0.39452,0.28601,0.00173,0.16242,0.95175,0.96127,0.97605,0.94721,0.95175,0.96127,0.97161,0.86204,0.28661,0.33278,0.23442,0.002,0,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,2317.63,0.38455,0.38108,0.2848,0.00169,0.1674,0.96236,0.95747,0.97629,0.95097,0.96236,0.95747,0.9716,0.86108,0.27816,0.33451,0.22046,0.00201,0,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,2363.69,0.38084,0.3698,0.28105,0.00167,0.15653,0.95454,0.95993,0.97465,0.94927,0.95454,0.95993,0.97002,0.85434,0.27562,0.34279,0.22415,0.00194,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,2409.65,0.38186,0.37637,0.2781,0.00166,0.15841,0.95291,0.96269,0.97389,0.9454,0.95291,0.96269,0.96955,0.84966,0.28279,0.34818,0.22846,0.00201,0,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,2455.49,0.38753,0.37688,0.2761,0.00169,0.15617,0.96075,0.96168,0.97484,0.94925,0.96075,0.96168,0.96984,0.85393,0.27502,0.33455,0.21921,0.00194,0,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,2501.44,0.38307,0.38945,0.27937,0.00168,0.16013,0.96024,0.96246,0.97621,0.95228,0.96024,0.96246,0.97115,0.85384,0.26786,0.33414,0.21699,0.00188,0,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,2547.41,0.38472,0.37215,0.27386,0.00168,0.15539,0.95952,0.9582,0.9755,0.94892,0.95952,0.9582,0.97042,0.85181,0.27423,0.33168,0.22644,0.00189,0,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,2593.33,0.38466,0.37054,0.28751,0.00173,0.16966,0.9541,0.95885,0.97527,0.94725,0.9541,0.95885,0.96962,0.86045,0.28057,0.33439,0.22649,0.00196,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,2639.4,0.38658,0.38067,0.27902,0.00168,0.16345,0.96435,0.95636,0.97698,0.95141,0.96435,0.95636,0.97226,0.85135,0.27309,0.34126,0.21349,0.00203,0,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,2685.23,0.38539,0.36337,0.27584,0.00169,0.15496,0.96089,0.96239,0.97777,0.95467,0.96089,0.96239,0.97178,0.85901,0.26313,0.33164,0.21306,0.0018,0,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,2731.37,0.37856,0.36718,0.2686,0.00164,0.15536,0.96123,0.96443,0.97788,0.95132,0.96057,0.96377,0.97189,0.86265,0.27043,0.33181,0.21919,0.0018,0,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,2777.54,0.38398,0.36834,0.27413,0.00167,0.1522,0.96522,0.96145,0.97747,0.95427,0.96558,0.96126,0.97231,0.85593,0.26427,0.3262,0.21505,0.00181,0,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,2823.4,0.37715,0.37416,0.27153,0.00166,0.15178,0.96236,0.96151,0.97694,0.95335,0.96236,0.96151,0.97123,0.85296,0.266,0.33546,0.21605,0.00185,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,2869.42,0.37875,0.38297,0.27472,0.00165,0.15783,0.95983,0.96107,0.97654,0.95209,0.95957,0.96081,0.97193,0.85709,0.27474,0.34911,0.21933,0.0019,0,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,2915.44,0.38002,0.38115,0.27253,0.00165,0.15503,0.96222,0.96333,0.97705,0.94848,0.96222,0.96333,0.97152,0.86001,0.27755,0.33557,0.21443,0.00189,0,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
